,Venue,Venue Category,Zip,Venue Latitude,Venue Longitude,Price Point,Business Status,Population,Population Density,Total Housing Units,Occupied Housing Units,Avaliable Housing Units,Median Home Value,Color
0,Kuba Kuba,Cuban Restaurant,23220,37.55131852614816,-77.45886792846565,2,OPERATIONAL,35545,7400.0,16609,15146,1463,233800,Blue (NCS)
1,Rostov's Coffee & Tea,Coffee Shop,23220,37.547889704038866,-77.46164931090519,1,OPERATIONAL,35545,7400.0,16609,15146,1463,233800,Artichoke
2,Heritage,American Restaurant,23220,37.547734999999996,-77.462098,3,OPERATIONAL,35545,7400.0,16609,15146,1463,233800,Aquamarine
3,Foo Dog: Asian Street Food,Asian Restaurant,23220,37.547368694925865,-77.46090206256933,1,OPERATIONAL,35545,7400.0,16609,15146,1463,233800,Antique brass
4,Beauvine,Burger Joint,23220,37.54683779298229,-77.45994830578799,2,OPERATIONAL,35545,7400.0,16609,15146,1463,233800,Arylide yellow
5,Goatocado,Restaurant,23220,37.54865664700039,-77.46444900964306,2,OPERATIONAL,35545,7400.0,16609,15146,1463,233800,Blue yonder
6,District 5,Gastropub,23220,37.54893657205236,-77.46550509892869,2,OPERATIONAL,35545,7400.0,16609,15146,1463,233800,Baby blue
7,Postbellum,American Restaurant,23220,37.54631939794085,-77.45835491455813,2,OPERATIONAL,35545,7400.0,16609,15146,1463,233800,Aquamarine
8,My Noodle & Bar,Noodle House,23220,37.55277805551909,-77.45798400286915,2,OPERATIONAL,35545,7400.0,16609,15146,1463,233800,Brink pink
9,City Dogs,Hot Dog Joint,23220,37.54612004584957,-77.45766452602982,1,OPERATIONAL,35545,7400.0,16609,15146,1463,233800,Amber
10,Anokha,Indian Restaurant,23233,37.65149842850024,-77.62156033787572,2,OPERATIONAL,28908,2342.0,12145,11424,721,307300,Bright yellow (Crayola)
11,Gelati Celesti,Ice Cream Shop,23233,37.65238756816056,-77.6223074851571,1,OPERATIONAL,28908,2342.0,12145,11424,721,307300,Beige
12,Umi Sushi Bistro,Sushi Restaurant,23233,37.652255822043735,-77.61830127588539,3,OPERATIONAL,28908,2342.0,12145,11424,721,307300,Bright maroon
13,Panera Bread,Bakery,23233,37.652201,-77.620103,2,OPERATIONAL,28908,2342.0,12145,11424,721,307300,Amaranth (M&P)
14,Starbucks,Coffee Shop,23233,37.652245,-77.620834,2,OPERATIONAL,28908,2342.0,12145,11424,721,307300,Artichoke
15,Tazza Kitchen Short Pump,Restaurant,23233,37.6472895,-77.61550909999998,2,OPERATIONAL,28908,2342.0,12145,11424,721,307300,Blue yonder
16,ZoÃ«s Kitchen,Mediterranean Restaurant,23233,37.652261037089076,-77.62245113309473,2,CLOSED_TEMPORARILY,28908,2342.0,12145,11424,721,307300,Black coral
17,Mexico Restaurant,Mexican Restaurant,23233,37.65194221664872,-77.61711866867405,1,OPERATIONAL,28908,2342.0,12145,11424,721,307300,Brandy
18,Einstein Bros Bagels,Bagel Shop,23233,37.64725214396623,-77.61551476686475,1,OPERATIONAL,28908,2342.0,12145,11424,721,307300,Asparagus
19,Mezeh Mediterranean Grill,Mediterranean Restaurant,23233,37.65341973050653,-77.61647894238467,1,OPERATIONAL,28908,2342.0,12145,11424,721,307300,Black coral
20,Olive Garden,Italian Restaurant,23233,37.65319763785326,-77.62216606648899,2,OPERATIONAL,28908,2342.0,12145,11424,721,307300,Antique ruby
21,Jamba Juice,Juice Bar,23233,37.652364,-77.622408,1,OPERATIONAL,28908,2342.0,12145,11424,721,307300,Blue-violet
22,Rise,Donut Shop,23233,37.651716,-77.614841,1,OPERATIONAL,28908,2342.0,12145,11424,721,307300,Avocado
23,Starbucks,Coffee Shop,23233,37.653452,-77.61661,2,OPERATIONAL,28908,2342.0,12145,11424,721,307300,Artichoke
24,Extreme Pizza,Pizza Place,23233,37.65227355337319,-77.61840314162531,2,OPERATIONAL,28908,2342.0,12145,11424,721,307300,Brown sugar
25,Casa Grande,Mexican Restaurant,23233,37.64969919132224,-77.61468121732635,1,OPERATIONAL,28908,2342.0,12145,11424,721,307300,Brandy
26,Subway,Sandwich Place,23233,37.64737660270207,-77.61549932223926,1,OPERATIONAL,28908,2342.0,12145,11424,721,307300,Amazon
27,Dunkin',Donut Shop,23233,37.651666936917394,-77.61674239910644,1,OPERATIONAL,28908,2342.0,12145,11424,721,307300,Avocado
